p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
6.230372462515123e-23,0.8956725074425451,0.537,0.326,2.28037862500516e-18,0,SNHG12
9.436072739335331e-23,1.00409627927727,0.547,0.36,3.4536969833241244e-18,0,TUBA1B
1.0320168950494825e-22,0.8624919294567674,0.453,0.257,3.777285037570611e-18,0,NUFIP2
1.1337497674518515e-22,0.31725691314228843,0.975,0.933,4.1496375238505216e-18,0,UBC
2.302283092253603e-22,0.5995998077721709,0.657,0.432,8.426586345957412e-18,0,AC007952.4
1.6034745547923892e-21,1.1494506403899822,0.329,0.159,5.868877217995623e-17,0,CITED2
8.54389839037218e-21,1.14159824353756,0.343,0.175,3.1271522498601217e-16,0,FAM53C
1.5278070371738025e-20,1.1014646027242425,0.343,0.173,5.591926536759835e-16,0,PATL2
1.8256886076091393e-20,0.9128135408029369,0.486,0.294,6.682202872710211e-16,0,ZBTB10
2.4031417013476496e-20,0.5628069234247544,0.595,0.378,8.795738941102533e-16,0,LINC00910
3.705247978066711e-20,0.6134046831087878,0.765,0.601,1.356157812452197e-15,0,CYCS
4.546886123755589e-20,0.5697300909477654,0.74,0.566,1.6642057901557831e-15,0,DDX3X
1.0943339018650227e-19,1.4559519991282062,0.26,0.118,4.005371514216169e-15,0,H2AFX
1.8827209866140983e-19,0.6441422987005849,0.724,0.553,6.890947083106261e-15,0,HSPA5
4.1844201300117525e-19,0.992029721488205,0.385,0.212,1.5315396117856015e-14,0,THUMPD3-AS1
5.733564106531595e-19,1.294856187821551,0.302,0.15,2.0985417986316288e-14,0,KIF9
1.724603160621119e-18,0.3910279524427702,0.905,0.811,6.312220028189358e-14,0,ZFAS1
1.94476156168609e-18,0.9191323696494109,0.431,0.258,7.118021791927257e-14,0,RARA
2.8800299779293e-18,0.6298056285779636,0.514,0.329,1.0541197722219032e-13,0,KDM6B
5.0687896281151056e-18,0.7246717688857887,0.527,0.34,1.8552276917864097e-13,0,NFKBIB
5.444871797731408e-18,0.5696656277558021,0.543,0.349,1.9928775266876725e-13,0,AC245014.3
8.027945013063204e-18,0.3691093246462871,0.932,0.867,2.938308154231263e-13,0,SRSF5
8.294690116202764e-18,0.46601024889158627,0.837,0.712,3.035939529431374e-13,0,SNHG8
9.575848534086305e-18,1.1845232273981703,0.431,0.271,3.5048563219609283e-13,0,AC020916.1
2.5377557711102936e-17,0.7505351269935805,0.583,0.421,9.288439897840785e-13,0,TUBB4B
3.7095574740130516e-17,0.5814374320386382,0.719,0.575,1.357735131063517e-12,0,HERPUD1
8.039696054580579e-17,0.7341469583057829,0.449,0.278,2.9426091529370377e-12,0,PPP1R15B
9.724109901611748e-17,1.2594216156418419,0.268,0.132,3.559121465088916e-12,0,SAE1
1.0700259219985441e-16,0.4787054894486602,0.643,0.458,3.916401877106871e-12,0,RAB7A
1.7143423012802688e-16,0.5080093550497078,0.727,0.605,6.2746642569159116e-12,0,RPL22L1
4.289635651957478e-16,0.5469294271631946,0.459,0.292,1.5700495449729565e-11,0,KLHL18
5.545943510265669e-16,0.6849776984422346,0.486,0.311,2.0298707841923375e-11,0,KLF10
9.409007083971506e-16,0.6311019983184911,0.639,0.492,3.443790682804411e-11,0,AC044849.1
1.0045602804457475e-15,0.48849973914185063,0.804,0.634,3.67679108245948e-11,0,SQSTM1
1.0601799032551105e-15,0.30796042878661734,0.958,0.827,3.8803644639040296e-11,0,CD83
1.222414698113431e-15,1.1383498897474538,0.389,0.232,4.474160036564969e-11,0,CROCC
2.8698525476478943e-15,0.4739926924372817,0.631,0.442,1.0503947309646057e-10,0,NUP58
2.951024800237475e-15,0.9730541695451782,0.254,0.127,1.0801045871349183e-10,0,CYSTM1
5.604641725291491e-15,0.5752083174509525,0.453,0.278,2.0513549178739386e-10,0,NR4A1
3.001181990712601e-14,0.6904046493099015,0.449,0.295,1.098462620420719e-9,0,HMGCS1
3.255180006623539e-14,0.5343513433929252,0.689,0.523,1.1914284342242814e-9,0,EIF4A1
3.260604226467227e-14,0.7144269208885807,0.515,0.349,1.1934137529292698e-9,0,MYLIP
5.806823926448848e-14,0.6212568319468794,0.548,0.394,2.125355625319543e-9,0,UBE2S
6.635904387773936e-14,1.1784969391463973,0.294,0.164,2.4288073649691385e-9,0,AP5Z1
8.121710620224614e-14,1.1663583206596395,0.469,0.349,2.9726273041084108e-9,0,AC103591.3
8.961207441251616e-14,0.7123372875808062,0.368,0.221,3.279891535572504e-9,0,TCP11L2
1.4505777680430956e-13,0.5924366466085944,0.476,0.313,5.309259688814534e-9,0,AC253572.2
2.2503376569585367e-13,0.4696382846270253,0.767,0.66,8.23646085823394e-9,0,HSPA8
4.383729554657065e-13,0.5309829495884808,0.576,0.424,1.6044888543000324e-8,0,SNHG1
6.345927738640245e-13,0.5770046054061795,0.453,0.306,2.3226730116197158e-8,0,EIF4A3
8.345162097407952e-13,0.6612603706163435,0.442,0.294,3.0544127792722845e-8,0,ATF4
1.0636640414128776e-12,0.25602167298764567,0.98,0.965,3.893116757975273e-8,0,DDX5
4.453257193540515e-12,0.8666360285218002,0.29,0.166,1.6299366654077637e-7,0,HIVEP2
6.10236909173294e-12,0.7890697662814746,0.335,0.201,2.2335281112651735e-7,0,PIK3IP1
6.629884816061637e-12,0.30564741149754004,0.919,0.849,2.4266041415267197e-7,0,HSP90AB1
1.259733629180825e-11,0.5592828412191515,0.599,0.469,4.610751056164738e-7,0,RBM8A
1.9953912927155528e-11,1.0699027206887193,0.327,0.195,7.303331670468195e-7,0,Z93241.1
2.396875792626697e-11,0.31241419947586113,0.849,0.75,8.772805088592974e-7,0,TXNIP
